Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-myig.json	2485	-	0	0	0	0	0	0	7	113	0	0	0	0	0	0	0	0	0	0	66	58	0	0	0	2	0	1
fsh-generated/resources/CapabilityStatement-exampleMappedCapability.json	2378	19	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	20	33	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-MappedCapability.json	1110	15	0	147	1	0	0	0	0	107	0	0	0	0	0	0	0	2	0	0	316	1263	0	0	0	13	0	2
fsh-generated/resources/StructureDefinition-MappedOrganization.json	1196	15	0	24	0	0	0	0	0	70	0	0	1	0	0	0	0	1	0	0	89	260	0	0	0	3	0	0
